drug_name,mapping
TEPADINA*EV FL 15MG 10MG/ML,TEPADINA 15 mg polvere per concentrato per soluzione per infusione
TEPADINA*EV FL 100MG 10MG/ML,TEPADINA 100 mg polvere per concentrato per soluzione per infusione
RIASTAP*FL POLV 1G 20MG/ML+DIS,Riastap 1 g
"FLUMAZENIL HIK*5F 10ML0,1MG/ML","Flumazenil Hikma 0,1 mg/ml soluzione iniettabile/per infusione"
PECFENT*SPRAY NAS 1FL 100MCG/D,"PecFent 100 microgrammi/erogazione spray nasale, soluzione"
PECFENT*SPRAY NAS 1FL 400MCG/D,"PecFent 100 microgrammi/erogazione spray nasale, soluzione"
LEVOFLOXACINA KABI*INF10F100ML,LEVOFLOXACINA KABI 5 mg/ml soluzione per infusione
CHLORAPREP COLOR*3ML 25APPL,ChloraPrep 2% p/v / 70% v/v
"CHLORAPREP COLOR*10,5ML 25APPL",ChloraPrep 2% p/v / 70% v/v
CHLORAPREP COLOR*26ML 1APPLIC,ChloraPrep 2% p/v / 70% v/v
PALEXIA*30CPR 50MG RP,Palexia** 50 mg compresse rivestite con film
PALEXIA*30CPR 100MG RP,Palexia** 50 mg compresse rivestite con film
PALEXIA*30CPR 150MG RP,Palexia** 50 mg compresse rivestite con film
PALEXIA*30CPR 200MG RP,Palexia 20 mg/ml soluzione orale
FLUOROURACILE AHCL*FL 100ML 5G,Che cosՏ Fluorouracile AHCL
SMOFKABIVEN*4SACC 986ML C/EL,"SmofKabiven AA 6,5% emulsione per infusione"
SMOFKABIVEN*4SACC 1477ML C/EL,"SmofKabiven AA 6,5% emulsione per infusione"
GRIFOXINA*60CPR RIV 500MG,GRIFOXINA 500 mg compresse rivestite con film
PARACETAMOLO GS*INF 12FL 1G,PARACETAMOLO GALENICA SENESE 10 mg/ml soluzione per infusione
ELIQUIS*60CPR RIV 5MG,Eliquis 5 mg compresse rivestite con film
ZYTIGA*56CPR RIV 500MG,ZYTIGA 500 mg compresse rivestite con film
